Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
78,0,0,465,466,466,465,466,466,466,465,466,465,465,465,466,466,466,465,465,465,465,465,466,466,466,466,466,465,465,466,465,465,465,466,466,466,465,466,465,466,466,466,465,465,465,465,466,465,465,465,466,465
79,0,0,466,466,465,465,466,466,466,466,466,466,465,465,466,466,466,465,466,466,465,466,465,466,465,466,466,466,466,466,465,465,466,466,465,466,465,466,466,465,465,465,466,466,466,466,466,465,465,465,466,466
80,0,0,466,465,466,466,466,466,465,465,465,466,465,466,465,465,465,465,466,465,465,465,465,465,465,465,466,466,466,465,466,466,466,465,466,466,466,465,465,466,466,465,465,465,466,466,466,466,465,466,466,466
81,0,0,466,465,466,465,466,465,465,466,466,465,466,466,465,465,465,466,466,465,465,465,466,465,466,466,466,465,465,466,466,466,466,466,465,466,466,466,465,465,465,466,466,466,465,466,466,466,465,466,466,465
82,0,0,466,466,465,466,465,466,466,466,466,466,466,465,465,466,466,465,465,465,465,466,466,465,466,466,466,466,466,466,465,466,466,466,466,465,466,466,465,466,465,466,466,465,466,466,466,466,466,465,466,466
83,0,0,465,466,465,465,466,465,466,465,466,465,465,466,466,465,465,466,466,466,466,466,466,465,466,465,466,466,465,465,466,465,466,465,465,466,466,466,466,465,465,465,466,466,465,465,466,466,466,466,466,465
84,0,0,465,466,466,465,466,466,466,466,466,466,466,465,465,466,466,465,466,466,466,465,466,465,466,466,466,466,466,466,466,465,466,465,465,466,466,466,466,465,466,465,465,466,466,465,465,466,466,466,465,466
85,0,0,465,465,465,466,465,466,466,465,465,465,465,465,465,466,466,465,466,465,466,466,465,466,465,466,466,465,466,465,465,466,466,466,465,466,465,466,466,466,466,466,466,465,466,465,466,466,466,465,465,466
86,0,0,466,466,465,465,465,465,466,466,466,465,465,466,465,465,466,466,465,465,466,466,466,466,466,465,466,465,465,466,465,465,465,465,466,466,466,465,466,465,466,466,466,465,465,465,465,466,466,465,466,466
87,0,0,465,466,465,465,466,466,465,466,466,465,466,466,465,466,466,466,465,466,465,466,465,466,465,465,466,466,466,466,465,465,466,465,466,465,466,465,466,465,466,466,466,465,465,466,465,465,465,466,465,466
88,0,0,466,465,465,465,466,465,466,466,466,465,465,465,466,465,466,466,465,466,466,465,465,466,466,466,466,465,466,466,466,465,466,465,466,465,466,466,466,465,465,466,465,465,466,466,466,466,466,466,465,466
89,0,0,466,466,466,466,465,466,466,466,466,466,465,465,465,466,465,466,466,466,466,465,466,466,466,466,466,466,465,465,465,465,466,466,465,465,465,465,465,465,466,466,465,466,465,466,465,466,466,465,466,466
90,0,0,465,465,466,466,466,466,465,466,466,465,466,466,465,466,465,465,466,466,466,466,465,466,465,466,466,465,466,465,466,466,466,465,466,465,466,466,465,465,465,466,465,466,466,466,466,465,465,466,465,465
91,0,0,466,466,465,466,465,466,465,465,465,465,466,466,465,465,465,466,466,465,466,465,466,466,465,465,466,466,465,466,466,466,466,466,466,465,466,465,465,465,465,466,466,465,465,466,466,466,466,465,465,465
92,0,0,466,466,466,465,465,466,466,465,465,466,465,465,466,466,465,465,466,466,466,466,466,466,466,466,465,466,466,465,466,466,465,466,465,466,466,465,465,465,466,466,465,465,466,466,466,465,465,465,465,466
93,0,0,465,466,466,465,465,466,466,466,465,466,466,465,465,466,466,465,465,465,466,466,466,465,465,466,465,465,465,465,465,465,466,466,465,465,465,466,465,465,465,466,465,466,465,466,465,466,465,466,465,465
94,0,0,466,466,466,465,465,466,465,466,466,465,466,465,465,465,466,466,465,465,466,465,466,465,466,466,465,466,466,465,466,465,466,466,466,465,465,465,466,465,466,466,465,466,466,466,465,465,466,465,465,465
95,0,0,466,465,466,465,466,466,465,466,466,465,465,466,465,465,465,466,466,466,466,465,466,465,466,466,466,466,465,466,465,465,465,465,466,465,466,465,465,465,465,466,465,466,465,466,466,465,466,465,465,466
96,0,0,465,466,466,465,466,465,465,466,466,466,466,466,465,465,466,465,466,466,465,466,465,465,466,466,465,465,466,465,465,466,465,466,466,465,465,465,466,466,466,466,466,466,465,466,465,465,465,466,466,465
97,0,0,465,465,466,466,465,466,466,466,466,466,466,465,466,465,466,466,466,466,465,466,466,466,466,466,466,465,466,466,465,466,465,466,465,466,466,466,466,465,465,466,466,466,466,466,466,465,465,466,466,466
98,0,0,465,466,465,466,466,465,466,466,465,466,465,466,465,466,465,465,466,466,466,466,466,466,466,465,466,466,466,466,466,466,465,466,465,465,466,465,465,466,465,465,465,466,466,466,466,466,465,465,465,466
99,0,0,465,466,466,465,466,465,465,465,466,465,466,465,465,465,466,465,466,465,465,465,465,465,466,466,465,465,465,466,465,465,466,466,466,466,465,465,466,466,465,465,465,465,466,466,465,466,465,465,466,465
100,0,0,466,466,466,465,465,466,465,466,466,466,466,465,466,466,465,466,465,465,466,466,466,466,466,466,466,465,465,466,466,466,465,466,466,465,466,465,466,465,466,466,466,465,466,466,465,465,466,465,465,465
101,0,0,465,465,466,465,465,466,465,465,466,466,465,466,466,465,465,466,465,465,466,465,466,466,465,465,465,466,465,465,465,465,465,465,465,466,466,466,465,465,465,465,466,465,466,466,465,466,466,466,466,466
102,0,0,466,465,466,466,466,466,466,465,465,466,465,466,466,466,466,466,465,466,466,466,465,465,466,466,465,466,465,466,466,466,466,466,465,465,466,466,465,466,466,465,466,466,466,466,466,466,465,466,466,466
103,0,0,466,465,465,466,466,465,466,466,465,466,465,465,466,465,465,465,465,466,465,466,466,465,465,466,465,466,465,465,466,465,465,466,465,465,466,465,465,466,465,466,465,466,466,466,465,466,466,465,465,466
104,0,0,466,465,465,466,465,465,465,466,466,465,465,466,466,465,465,466,466,466,466,465,465,466,466,466,466,466,465,465,465,465,465,465,465,466,465,465,465,466,465,465,466,465,465,466,466,466,465,465,466,466
105,0,0,466,465,466,465,466,465,466,465,466,466,466,466,466,466,465,466,466,465,465,465,465,465,466,465,465,465,465,465,466,466,465,466,466,466,465,466,466,466,465,466,465,465,465,466,466,465,465,466,466,466
